ClarifyingQuestion,Text,lowercase,pnctRemoved,text_wo_stop,text_lemmatized
Break two green blocks facing which direction?,Break two green blocks facing which direction?,break two green blocks facing which direction?,break two green blocks facing which direction,break two green blocks facing direction,break two green block face direction
Which blue blocks?,Which blue blocks?,which blue blocks?,which blue blocks,blue blocks,blue block
where are the blue blocks?,where are the blue blocks?,where are the blue blocks?,where are the blue blocks,blue blocks,blue block
Which directions should the horizontal row span?,Which directions should the horizontal row span?,which directions should the horizontal row span?,which directions should the horizontal row span,directions horizontal row span,direction horizontal row span
Which side of green is not given,Which side of green is not given,which side of green is not given,which side of green is not given,side green given,side green give
Does the purple go no the West side of the East side?,Does the purple go no the West side of the East side?,does the purple go no the west side of the east side?,does the purple go no the west side of the east side,purple go west side east side,purple go west side east side
Where should the green blocks be placed?,Where should the green blocks be placed?,where should the green blocks be placed?,where should the green blocks be placed,green blocks placed,green block place
What do you mean by bottommost purple block of the floating column ? There is now purple block in floating column,What do you mean by bottommost purple block of the floating column ? There is now purple block in floating column,what do you mean by bottommost purple block of the floating column ? there is now purple block in floating column,what do you mean by bottommost purple block of the floating column  there is now purple block in floating column,mean bottommost purple block floating column purple block floating column,mean bottommost purple block float column purple block float column
Which three vertical red blocks?,Which three vertical red blocks?,which three vertical red blocks?,which three vertical red blocks,three vertical red blocks,three vertical red block
Where is the orange block?,Where is the orange block?,where is the orange block?,where is the orange block,orange block,orange block
Which direction should all these new blocks go?,Which direction should all these new blocks go?,which direction should all these new blocks go?,which direction should all these new blocks go,direction new blocks go,direction new block go
How many blocks do i need to total?,How many blocks do i need to total?,how many blocks do i need to total?,how many blocks do i need to total,many blocks need total,many block need total
Which side I need to make the rectangle is not clear,Which side I need to make the rectangle is not clear,which side i need to make the rectangle is not clear,which side i need to make the rectangle is not clear,side need make rectangle clear,side need make rectangle clear
Should the purple blocks be on top of each other?,Should the purple blocks be on top of each other?,should the purple blocks be on top of each other?,should the purple blocks be on top of each other,purple blocks top,purple block top
"For the instruction ""Reducing the height by one block at a time."" Do I do this until all of the blocks are gone?","For the instruction ""Reducing the height by one block at a time."" Do I do this until all of the blocks are gone?","for the instruction ""reducing the height by one block at a time."" do i do this until all of the blocks are gone?",for the instruction reducing the height by one block at a time do i do this until all of the blocks are gone,instruction reducing height one block time blocks gone,instruction reduce height one block time block go
What do you mean by south and right of the red block? What direction do I face?Why does it say a total of 4 blocks should be placed when it only says to place 3?,What do you mean by south and right of the red block? What direction do I face?Why does it say a total of 4 blocks should be placed when it only says to place 3?,what do you mean by south and right of the red block? what direction do i face?why does it say a total of 4 blocks should be placed when it only says to place 3?,what do you mean by south and right of the red block what direction do i facewhy does it say a total of 4 blocks should be placed when it only says to place 3,mean south right red block direction facewhy say total 4 blocks placed says place 3,mean south right red block direction facewhy say total 4 block place say place 3
There is no green block in the given structure so where I need to start from,There is no green block in the given structure so where I need to start from,there is no green block in the given structure so where i need to start from,there is no green block in the given structure so where i need to start from,green block given structure need start,green block give structure need start
Are you referring to the edges of the board?,Are you referring to the edges of the board?,are you referring to the edges of the board?,are you referring to the edges of the board,referring edges board,refer edge board
Where is this line of blocks?,Where is this line of blocks?,where is this line of blocks?,where is this line of blocks,line blocks,line block
There are no red blocks directly north so hard to know where to start,There are no red blocks directly north so hard to know where to start,there are no red blocks directly north so hard to know where to start,there are no red blocks directly north so hard to know where to start,red blocks directly north hard know start,red block directly north hard know start
There are no purple blocks on this board; is it the blue ones that should be removed?,There are no purple blocks on this board; is it the blue ones that should be removed?,there are no purple blocks on this board; is it the blue ones that should be removed?,there are no purple blocks on this board is it the blue ones that should be removed,purple blocks board blue ones removed,purple block board blue one remove
Are three green blocks placed on the newest block or the initial east-most green block?,Are three green blocks placed on the newest block or the initial east-most green block?,are three green blocks placed on the newest block or the initial east-most green block?,are three green blocks placed on the newest block or the initial eastmost green block,three green blocks placed newest block initial eastmost green block,three green block place new block initial eastmost green block
Am I standing on the west side and placing on the east side or standing on the east side and placing on the west side?,Am I standing on the west side and placing on the east side or standing on the east side and placing on the west side?,am i standing on the west side and placing on the east side or standing on the east side and placing on the west side?,am i standing on the west side and placing on the east side or standing on the east side and placing on the west side,standing west side placing east side standing east side placing west side,stand west side place east side stand east side place west side
How many blue blocks do I place in each corner?,How many blue blocks do I place in each corner?,how many blue blocks do i place in each corner?,how many blue blocks do i place in each corner,many blue blocks place corner,many blue block place corner
In the center of the board or do you mean between the two purple columns / beneath the red column?,In the center of the board or do you mean between the two purple columns / beneath the red column?,in the center of the board or do you mean between the two purple columns / beneath the red column?,in the center of the board or do you mean between the two purple columns  beneath the red column,center board mean two purple columns beneath red column,center board mean two purple column beneath red column
I don't know if they mean horizontal from East to West or North to South,I don't know if they mean horizontal from East to West or North to South,i don't know if they mean horizontal from east to west or north to south,i dont know if they mean horizontal from east to west or north to south,dont know mean horizontal east west north south,dont know mean horizontal east west north south
In which direction should the three horizontal blocks go?,In which direction should the three horizontal blocks go?,in which direction should the three horizontal blocks go?,in which direction should the three horizontal blocks go,direction three horizontal blocks go,direction three horizontal block go
Bo starting point for the orange blocks so not sure where the center is,Bo starting point for the orange blocks so not sure where the center is,bo starting point for the orange blocks so not sure where the center is,bo starting point for the orange blocks so not sure where the center is,bo starting point orange blocks sure center,bo start point orange block sure center
Which three purple blocks on the right side?,Which three purple blocks on the right side?,which three purple blocks on the right side?,which three purple blocks on the right side,three purple blocks right side,three purple block right side
Where in the center should they go?,Where in the center should they go?,where in the center should they go?,where in the center should they go,center go,center go
center of what?,center of what?,center of what?,center of what,center,center
Where in the center should the three orange blocks be placed?,Where in the center should the three orange blocks be placed?,where in the center should the three orange blocks be placed?,where in the center should the three orange blocks be placed,center three orange blocks placed,center three orange block place
When in the center which direction do we go?,When in the center which direction do we go?,when in the center which direction do we go?,when in the center which direction do we go,center direction go,center direction go
BNot sure where center is no starting point given,BNot sure where center is no starting point given,bnot sure where center is no starting point given,bnot sure where center is no starting point given,bnot sure center starting point given,bnot sure center start point give
Should the orange blocks be placed and oriented to the east west north or south?,Should the orange blocks be placed and oriented to the east west north or south?,should the orange blocks be placed and oriented to the east west north or south?,should the orange blocks be placed and oriented to the east west north or south,orange blocks placed oriented east west north south,orange block place orient east west north south
Where in the center do they go?,Where in the center do they go?,where in the center do they go?,where in the center do they go,center go,center go
I don't know where the center is. The center of the structure or the center of the grid?,I don't know where the center is. The center of the structure or the center of the grid?,i don't know where the center is. the center of the structure or the center of the grid?,i dont know where the center is the center of the structure or the center of the grid,dont know center center structure center grid,dont know center center structure center grid
What two yellow blocks?,What two yellow blocks?,what two yellow blocks?,what two yellow blocks,two yellow blocks,two yellow block
Where should I place the orange block? What row is referred to here or where should I place one?,Where should I place the orange block? What row is referred to here or where should I place one?,where should i place the orange block? what row is referred to here or where should i place one?,where should i place the orange block what row is referred to here or where should i place one,place orange block row referred place one,place orange block row refer place one
What yellow blocks?,What yellow blocks?,what yellow blocks?,what yellow blocks,yellow blocks,yellow block
There aren't any blocks to break. Do I just place the blocks then?,There aren't any blocks to break. Do I just place the blocks then?,there aren't any blocks to break. do i just place the blocks then?,there arent any blocks to break do i just place the blocks then,arent blocks break place blocks,arent block break place block
Where do you want the vertical placement?,Where do you want the vertical placement?,where do you want the vertical placement?,where do you want the vertical placement,want vertical placement,want vertical placement
which yellow blocks?,which yellow blocks?,which yellow blocks?,which yellow blocks,yellow blocks,yellow block
Where are the two yellow lower blocks to break there are only purple and red blocks?,Where are the two yellow lower blocks to break there are only purple and red blocks?,where are the two yellow lower blocks to break there are only purple and red blocks?,where are the two yellow lower blocks to break there are only purple and red blocks,two yellow lower blocks break purple red blocks,two yellow low block break purple red block
Facing North from where?,Facing North from where?,facing north from where?,facing north from where,facing north,face north
Where do I place the vertical yellow blocks?,Where do I place the vertical yellow blocks?,where do i place the vertical yellow blocks?,where do i place the vertical yellow blocks,place vertical yellow blocks,place vertical yellow block
Where are the two lower yellow blocks there are only green blocks in this structure?,Where are the two lower yellow blocks there are only green blocks in this structure?,where are the two lower yellow blocks there are only green blocks in this structure?,where are the two lower yellow blocks there are only green blocks in this structure,two lower yellow blocks green blocks structure,two low yellow block green block structure
Which direction do the subsequent blocks go from the middle?,Which direction do the subsequent blocks go from the middle?,which direction do the subsequent blocks go from the middle?,which direction do the subsequent blocks go from the middle,direction subsequent blocks go middle,direction subsequent block go middle
Horizontally on which squares in the center?,Horizontally on which squares in the center?,horizontally on which squares in the center?,horizontally on which squares in the center,horizontally squares center,horizontally square center
Center of what and where exactly?,Center of what and where exactly?,center of what and where exactly?,center of what and where exactly,center exactly,center exactly
Which directions should the row span?,Which directions should the row span?,which directions should the row span?,which directions should the row span,directions row span,direction row span
In which direction should the line of green blocks be going?,In which direction should the line of green blocks be going?,in which direction should the line of green blocks be going?,in which direction should the line of green blocks be going,direction line green blocks going,direction line green block go
Which squares do I build the row of orange blocks?,Which squares do I build the row of orange blocks?,which squares do i build the row of orange blocks?,which squares do i build the row of orange blocks,squares build row orange blocks,square build row orange block
Which direction do the three blocks head go in?,Which direction do the three blocks head go in?,which direction do the three blocks head go in?,which direction do the three blocks head go in,direction three blocks head go,direction three block head go
Which direction should the line of blocks go from front to end?,Which direction should the line of blocks go from front to end?,which direction should the line of blocks go from front to end?,which direction should the line of blocks go from front to end,direction line blocks go front end,direction line block go front end
Where in the center do I place three green blocks horizontally?,Where in the center do I place three green blocks horizontally?,where in the center do i place three green blocks horizontally?,where in the center do i place three green blocks horizontally,center place three green blocks horizontally,center place three green block horizontally
"Does ""Where south meets east"" mean in the SE corner?","Does ""Where south meets east"" mean in the SE corner?","does ""where south meets east"" mean in the se corner?",does where south meets east mean in the se corner,south meets east mean se corner,south meet east mean se corner
Which direction horizontally should the green blocks be placed as the red structure is in the way?,Which direction horizontally should the green blocks be placed as the red structure is in the way?,which direction horizontally should the green blocks be placed as the red structure is in the way?,which direction horizontally should the green blocks be placed as the red structure is in the way,direction horizontally green blocks placed red structure way,direction horizontally green block place red structure way
The center is not really defined here should i start in the center of the structure itself in the center of the map and then which level should i start on,The center is not really defined here should i start in the center of the structure itself in the center of the map and then which level should i start on,the center is not really defined here should i start in the center of the structure itself in the center of the map and then which level should i start on,the center is not really defined here should i start in the center of the structure itself in the center of the map and then which level should i start on,center really defined start center structure center map level start,center really defined start center structure center map level start
Which direction should the row be going? At what level of the structure should the row be placed?,Which direction should the row be going? At what level of the structure should the row be placed?,which direction should the row be going? at what level of the structure should the row be placed?,which direction should the row be going at what level of the structure should the row be placed,direction row going level structure row placed,direction row go level structure row place
In the center of what?,In the center of what?,in the center of what?,in the center of what,center,center
Which direction should I be facing so I know which way the two blocks next to the center one should go?,Which direction should I be facing so I know which way the two blocks next to the center one should go?,which direction should i be facing so i know which way the two blocks next to the center one should go?,which direction should i be facing so i know which way the two blocks next to the center one should go,direction facing know way two blocks next center one go,direction face know way two block next center one go
There is no center for this structure as there is only two blocks so should i start building on the north or the south for the green blocks,There is no center for this structure as there is only two blocks so should i start building on the north or the south for the green blocks,there is no center for this structure as there is only two blocks so should i start building on the north or the south for the green blocks,there is no center for this structure as there is only two blocks so should i start building on the north or the south for the green blocks,center structure two blocks start building north south green blocks,center structure two block start build north south green block
What block do I destroy first?,What block do I destroy first?,what block do i destroy first?,what block do i destroy first,block destroy first,block destroy first
Which direction should I place the green blocks and should it interact with the existing structure?,Which direction should I place the green blocks and should it interact with the existing structure?,which direction should i place the green blocks and should it interact with the existing structure?,which direction should i place the green blocks and should it interact with the existing structure,direction place green blocks interact existing structure,direction place green block interact exist structure
Where is the center place?,Where is the center place?,where is the center place?,where is the center place,center place,center place
Which directions should the horizontal row of blocks span?,Which directions should the horizontal row of blocks span?,which directions should the horizontal row of blocks span?,which directions should the horizontal row of blocks span,directions horizontal row blocks span,direction horizontal row block span
Which Center is not specified,Which Center is not specified,which center is not specified,which center is not specified,center specified,center specify
How far East do I go to start building?,How far East do I go to start building?,how far east do i go to start building?,how far east do i go to start building,far east go start building,far east go start building
What platform?,What platform?,what platform?,what platform,platform,platform
On which side of the structure should I place the feet?,On which side of the structure should I place the feet?,on which side of the structure should i place the feet?,on which side of the structure should i place the feet,side structure place feet,side structure place foot
What color should the four blocks be?,What color should the four blocks be?,what color should the four blocks be?,what color should the four blocks be,color four blocks,color four block
Break a red block on top of where?,Break a red block on top of where?,break a red block on top of where?,break a red block on top of where,break red block top,break red block top
Break a red block where?,Break a red block where?,break a red block where?,break a red block where,break red block,break red block
Put three green ones where?,Put three green ones where?,put three green ones where?,put three green ones where,put three green ones,put three green one
There was no red block but instead a purple block,There was no red block but instead a purple block,there was no red block but instead a purple block,there was no red block but instead a purple block,red block instead purple block,red block instead purple block
There is no red blocks to break from the start should i instead start by breaking a purple block and then placing the three green ones.,There is no red blocks to break from the start should i instead start by breaking a purple block and then placing the three green ones.,there is no red blocks to break from the start should i instead start by breaking a purple block and then placing the three green ones.,there is no red blocks to break from the start should i instead start by breaking a purple block and then placing the three green ones,red blocks break start instead start breaking purple block placing three green ones,red block break start instead start break purple block place three green one
What do they mean by cherry and stem why not just say red and green blocks here confusing the build,What do they mean by cherry and stem why not just say red and green blocks here confusing the build,what do they mean by cherry and stem why not just say red and green blocks here confusing the build,what do they mean by cherry and stem why not just say red and green blocks here confusing the build,mean cherry stem say red green blocks confusing build,mean cherry stem say red green block confuse build
What direction do I face to place the blue blocks?,What direction do I face to place the blue blocks?,what direction do i face to place the blue blocks?,what direction do i face to place the blue blocks,direction face place blue blocks,direction face place blue block
What red block?,What red block?,what red block?,what red block,red block,red block
Which block should first be broken from left to right?,Which block should first be broken from left to right?,which block should first be broken from left to right?,which block should first be broken from left to right,block first broken left right,block first break left right
There is no red block for me to break so i am unsure of where i should start building the green blocks. Should i break the purple and build from there,There is no red block for me to break so i am unsure of where i should start building the green blocks. Should i break the purple and build from there,there is no red block for me to break so i am unsure of where i should start building the green blocks. should i break the purple and build from there,there is no red block for me to break so i am unsure of where i should start building the green blocks should i break the purple and build from there,red block break unsure start building green blocks break purple build,red block break unsure start building green block break purple build
Where is the red block located?,Where is the red block located?,where is the red block located?,where is the red block located,red block located,red block locate
I cannot remove a red block so are you sure about the color?,I cannot remove a red block so are you sure about the color?,i cannot remove a red block so are you sure about the color?,i cannot remove a red block so are you sure about the color,cannot remove red block sure color,cannot remove red block sure color
There are no red blocks in the world already so i do not know where to start building,There are no red blocks in the world already so i do not know where to start building,there are no red blocks in the world already so i do not know where to start building,there are no red blocks in the world already so i do not know where to start building,red blocks world already know start building,red block world already know start building
There doesn't appear to be a red block here. Can you clarify? Also what orientation should the green ones be placed in?,There doesn't appear to be a red block here. Can you clarify? Also what orientation should the green ones be placed in?,there doesn't appear to be a red block here. can you clarify? also what orientation should the green ones be placed in?,there doesnt appear to be a red block here can you clarify also what orientation should the green ones be placed in,doesnt appear red block clarify also orientation green ones placed,doesnt appear red block clarify also orientation green one place
Where is the red block you're referring to?,Where is the red block you're referring to?,where is the red block you're referring to?,where is the red block youre referring to,red block youre referring,red block youre refer
There are no blocks anywhere so i do not know where to start as the first command is to break and build from there.,There are no blocks anywhere so i do not know where to start as the first command is to break and build from there.,there are no blocks anywhere so i do not know where to start as the first command is to break and build from there.,there are no blocks anywhere so i do not know where to start as the first command is to break and build from there,blocks anywhere know start first command break build,block anywhere know start first command break build
"How many total green blocks need to be broken?What is the ""stem""?","How many total green blocks need to be broken?What is the ""stem""?","how many total green blocks need to be broken?what is the ""stem""?",how many total green blocks need to be brokenwhat is the stem,many total green blocks need brokenwhat stem,many total green block need brokenwhat stem
Should the three purple blocks be arranged vertically or horizontally?,Should the three purple blocks be arranged vertically or horizontally?,should the three purple blocks be arranged vertically or horizontally?,should the three purple blocks be arranged vertically or horizontally,three purple blocks arranged vertically horizontally,three purple block arrange vertically horizontally
There are no red blocks to break. Where do I put the green ones?,There are no red blocks to break. Where do I put the green ones?,there are no red blocks to break. where do i put the green ones?,there are no red blocks to break where do i put the green ones,red blocks break put green ones,red block break put green one
Skip one row on the west edge of the board from where?,Skip one row on the west edge of the board from where?,skip one row on the west edge of the board from where?,skip one row on the west edge of the board from where,skip one row west edge board,skip one row west edge board
There are no red blocks. Where do the green blocks go?,There are no red blocks. Where do the green blocks go?,there are no red blocks. where do the green blocks go?,there are no red blocks where do the green blocks go,red blocks green blocks go,red block green block go
There is no red block on the structure to start the build order from so not sure where to start,There is no red block on the structure to start the build order from so not sure where to start,there is no red block on the structure to start the build order from so not sure where to start,there is no red block on the structure to start the build order from so not sure where to start,red block structure start build order sure start,red block structure start build order sure start
